"UTIL_DEVICE_ID","NIC_MAC_ID","UIQ_DEVICE_STATE","IP_ADDRESS","LATITUDE_DEG","LONGITUDE_DEG","INSERT_TS","'STREETLIGHT'","UTIL_PREMISE_ID","ADDRESS1","INSTANT_POWER","INSTANT_VOLTAGE","ENERGY_DELIVERED","CURRENT_MAGNITUDE"
"0000000012159363",0013500500564E0A,"Discovered","fdc5:31e4:14e:2d:213:5005:56:4e0a",-37.7946917649,144.9328872428,19/JUL/18 02:34:51.064420000 AM,"Street Light","A026914","413 MACAULAY ROAD",,,,
"0000000012159301",0013500500564707,"Discovered","fdc5:31e4:14e:2d:213:5005:56:4707",-37.7948466319,144.9330864675,19/JUL/18 02:34:51.066187000 AM,"Street Light","A026918","411 MACAULAY ROAD",,,,
"0000000012159309",00135005005652B2,"Discovered","fdc5:31e4:14e:96:213:5005:56:52b2",-37.7946070476,144.9321173801,19/JUL/18 02:34:51.067819000 AM,"Street Light","A026913","434 MACAULAY ROAD",,,,
"0000000012159326",00135005005652EE,"Discovered","fdc5:31e4:14e:2d:213:5005:56:52ee",-37.7947644597,144.9323634567,19/JUL/18 02:34:51.069269000 AM,"Street Light","A026920","433 MACAULAY ROAD",,,,
"0000000012159316",0013500500564731,"Discovered","fdc5:31e4:14e:2d:213:5005:56:4731",-37.7946862187,144.9317506314,19/JUL/18 02:34:51.073557000 AM,"Street Light","A026922","453 MACAULAY ROAD",,,,
"0000000012159275",0013500500562F7F,"Discovered","fdc5:31e4:14e:96:213:5005:56:2f7f",-37.7879643951,144.9266817103,19/JUL/18 02:34:51.074944000 AM,"Street Light","A030685","8 MARKET STREET",,,,
"0000000012159190",0013500500564231,"Discovered","fdc5:31e4:14e:96:213:5005:56:4231",-37.7909463969,144.9252186761,19/JUL/18 02:34:51.076397000 AM,"Street Light","A021374","82 MARKET STREET",,,,
"0000000012159219",0013500500562BC8,"Discovered","fdc5:31e4:14e:2d:213:5005:56:2bc8",-37.7914393517,144.9276884912,19/JUL/18 02:34:51.080235000 AM,"Street Light","A030484","44 MCCRACKEN STREET",,,,
"0000000012159516",00135005005634A0,"Discovered","fdc5:31e4:14e:96:213:5005:56:34a0",-37.7903614926,144.9278682078,19/JUL/18 02:34:51.099048000 AM,"Street Light","A030613","15 MCCRACKEN STREET",,,,
"0000000012159294",001350050056525D,"Discovered","fdc5:31e4:14e:2d:213:5005:56:525d",-37.7921207406,144.9278448342,19/JUL/18 02:34:51.100410000 AM,"Street Light","A030618","59 MCCRACKEN STREET",,,,
"0000000012159607",00135005005643D7,"Discovered","fdc5:31e4:14e:2d:213:5005:56:43d7",-37.7924695992,144.9276663926,19/JUL/18 02:34:51.102211000 AM,"Street Light","A030481","62 MCCRACKEN STREET",,,,
"0000000012159517",00135005005628BD,"Discovered","fdc5:31e4:14e:2d:213:5005:56:28bd",-37.7928629552,144.9277950928,19/JUL/18 02:34:51.103544000 AM,"Street Light","A026289","77 MCCRACKEN STREET",,,,
"0000000012159202",0013500500564833,"Discovered","fdc5:31e4:14e:2d:213:5005:56:4833",-37.7936307113,144.9276384442,19/JUL/18 02:34:51.119773000 AM,"Street Light","A026285","84 MCCRACKEN STREET",,,,
"0000000012159583",001350050056416B,"Discovered","fdc5:31e4:14e:2d:213:5005:56:416b",-37.7967874932,144.9301963647,19/JUL/18 02:34:51.121389000 AM,"Street Light","A028380","18 ORMOND STREET",,,,
"0000000012159540",001350050056349D,"Discovered","fdc5:31e4:14e:96:213:5005:56:349d",-37.7877402485,144.9246812598,19/JUL/18 02:34:51.226526000 AM,"Street Light","A070694","474 RACECOURSE ROAD",,,,
